authority_id,country_code,province_code,legacy_authority_code,display_code,authority_ref,official_name,authority_type,status,valid_from,valid_to
cdf9042e-95bd-5d9f-a4b7-373ade4a2708,ZM,ZM-04,CFB,CFB,ZM-04-CFB,Chifunabuli Town Council,Town Council,active,,
bd6ed6ec-4118-50cd-a501-03cea8da9c8c,ZM,ZM-04,CPL,CPL,ZM-04-CPL,Chipili Town Council,Town Council,active,,
8b70dcc4-aa93-50a6-a278-e362143c0059,ZM,ZM-04,KWB,KWB,ZM-04-KWB,Kawambwa Town Council,Town Council,active,,
9c7b56b4-8cfa-535f-8c8e-a6b2d9a12558,ZM,ZM-04,LNG,LNG,ZM-04-LNG,Lunga Town Council,Town Council,active,,
00ae4447-a43b-5e27-9dd4-e2c53b90d5fc,ZM,ZM-04,MNS,MNS,ZM-04-MNS,Mansa Municipal Council,Municipal Council,active,,
7eb2abbd-37db-53f5-bcf1-e8f17101672d,ZM,ZM-04,MLG,MLG,ZM-04-MLG,Milenge Town Council,Town Council,active,,
64de9840-4a66-5728-912f-51ac7675c97a,ZM,ZM-04,MSB,MSB,ZM-04-MSB,Mwansabombwe Town Council,Town Council,active,,
b8686f88-509e-5fe2-a1f2-cdd7b783a986,ZM,ZM-04,MWE,MWE,ZM-04-MWE,Mwense Town Council,Town Council,active,,
5e6f8425-e82c-5b4b-8966-80f365b15d37,ZM,ZM-04,NCL,NCL,ZM-04-NCL,Nchelenge Town Council,Town Council,active,,
0fab397f-70ce-5657-a05e-2a90b5edfe6c,ZM,ZM-04,SMF,SMF,ZM-04-SMF,Samfya Town Council,Town Council,active,,
fa099192-91b8-54e8-b920-8522ff5274f9,ZM,ZM-05,CLB,CLB,ZM-05-CLB,Chilubi Town Council,Town Council,active,,
2b8d6e94-58e2-5c77-9e5e-5455bf11139a,ZM,ZM-05,KPT,KPT,ZM-05-KPT,Kaputa Town Council,Town Council,active,,
1a7d6157-9060-554b-b0d8-0062f487cc83,ZM,ZM-05,KSM,KSM,ZM-05-KSM,Kasama Municipal Council,Municipal Council,active,,
a3b62aae-7bea-5e16-856d-92dd027bd766,ZM,ZM-05,LNT,LNT,ZM-05-LNT,Lunte Town Council,Town Council,active,,
6523cf0b-a598-59e7-8476-e616ce0f2fd7,ZM,ZM-05,LPS,LPS,ZM-05-LPS,Lupososhi Town Council,Town Council,active,,
b36a6601-8966-5fce-9a74-c1793560400f,ZM,ZM-05,LWI,LWI,ZM-05-LWI,Luwingu Town Council,Town Council,active,,
69b8dde6-5a13-56f9-a18c-0bd110e27ac4,ZM,ZM-05,MBL,MBL,ZM-05-MBL,Mbala Municipal Council,Municipal Council,active,,
ace745bc-5897-5410-8f2a-11c9ac36f473,ZM,ZM-05,MPR,MPR,ZM-05-MPR,Mporokoso Town Council,Town Council,active,,
32cf50b2-511f-586b-9a1e-4783cb74fc76,ZM,ZM-05,MPL,MPL,ZM-05-MPL,Mpulungu Town Council,Town Council,active,,
92045712-ea71-5454-a979-16c8a37c1571,ZM,ZM-05,MNG,MNG,ZM-05-MNG,Mungwi Town Council,Town Council,active,,
979a2f04-6b7d-50df-a4b6-eef0054aa996,ZM,ZM-05,NSM,NSM,ZM-05-NSM,Nsama Town Council,Town Council,active,,
1a8ad9eb-a465-5af7-b368-ae5a8cc915ee,ZM,ZM-05,SGH,SGH,ZM-05-SGH,Senga Hill Town Council,Town Council,active,,
79c79e92-6160-56f0-9809-023ce26ef2af,ZM,ZM-06,CVM,CVM,ZM-06-CVM,Chavuma Town Council,Town Council,active,,
ccb138d6-b0b2-555c-8649-eb311e787282,ZM,ZM-06,IKG,IKG,ZM-06-IKG,Ikelenge Town Council,Town Council,active,,
9807a836-7f5d-506a-a4b5-ce303b64fb6a,ZM,ZM-06,KBP,KBP,ZM-06-KBP,Kabompo Town Council,Town Council,active,,
f472a12f-535f-59ee-9664-cc6457db2fae,ZM,ZM-06,KLB,KLB,ZM-06-KLB,Kalumbila Town Council,Town Council,active,,
cf903097-c70f-541e-92b7-0a3dde2719be,ZM,ZM-06,KSP,KSP,ZM-06-KSP,Kasempa Town Council,Town Council,active,,
1a121918-380f-5114-8062-64ed9233fc6d,ZM,ZM-06,MYG,MYG,ZM-06-MYG,Manyinga Town Council,Town Council,active,,
4309a5db-b794-507a-b98b-b4c604a2459a,ZM,ZM-06,MFB,MFB,ZM-06-MFB,Mufumbwe Town Council,Town Council,active,,
b323e4c6-3a33-5f20-8c9f-47f0d14ad64d,ZM,ZM-06,MSD,MSD,ZM-06-MSD,Mushindamo Town Council,Town Council,active,,
a974f076-132f-5711-965d-a8c38f989216,ZM,ZM-06,MWN,MWN,ZM-06-MWN,Mwinilunga Town Council,Town Council,active,,
f0149d07-9897-5136-aa23-6e7f5bd2e00b,ZM,ZM-06,SLW,SLW,ZM-06-SLW,Solwezi Municipal Council,Municipal Council,active,,
5cff4dc3-20de-5ebc-a6f5-1ed1269d1ea7,ZM,ZM-06,ZMB,ZMB,ZM-06-ZMB,Zambezi Town Council,Town Council,active,,
31bd1b0e-036a-5d5a-b850-5b86edb22e8d,ZM,ZM-07,CKT,CKT,ZM-07-CKT,Chikankata Town Council,Town Council,active,,
2a31c796-1fa8-50ba-a88a-83b54a078533,ZM,ZM-07,CRD,CRD,ZM-07-CRD,Chirundu Town Council,Town Council,active,,
ea84f96c-b18b-517c-bc6b-64a276b7a751,ZM,ZM-07,CHM,CHM,ZM-07-CHM,Choma Municipal Council,Municipal Council,active,,
9199cff0-017d-53a6-8ea9-57f74cf46c07,ZM,ZM-07,GWB,GWB,ZM-07-GWB,Gwembe Town Council,Town Council,active,,
5cadee49-6f64-5ea9-8505-3a54555c1aa0,ZM,ZM-07,ITT,ITT,ZM-07-ITT,Itezhi Tezhi Town Council,Town Council,active,,
158190c8-908a-5cdc-88d6-c8213a0bd017,ZM,ZM-07,KLM,KLM,ZM-07-KLM,Kalomo Town Council,Town Council,active,,
1c818383-9dd3-58b7-b69e-7e6b487652d3,ZM,ZM-07,KZG,KZG,ZM-07-KZG,Kazungula Town Council,Town Council,active,,
d55353e3-76ad-5093-9b1a-e142b621c0bb,ZM,ZM-07,LIV,LCC,ZM-07-LCC,Livingstone City Council,City Council,active,,
5f0b7b6a-45bc-5d5d-a07f-6f77cd6bd612,ZM,ZM-07,MZB,MZB,ZM-07-MZB,Mazabuka Municipal Council,Municipal Council,active,,
cd075bb4-21af-5574-a117-fb1155e392c6,ZM,ZM-07,MNZ,MNZ,ZM-07-MNZ,Monze Town Council,Town Council,active,,
7d198ccc-bf3a-58b4-b6e3-94e85d308762,ZM,ZM-07,NMW,NMW,ZM-07-NMW,Namwala Town Council,Town Council,active,,
d415ddcb-c973-5771-9f8a-1051c6e9b16a,ZM,ZM-07,PMB,PMB,ZM-07-PMB,Pemba Town Council,Town Council,active,,
fbb6f1eb-b2d5-589e-ad9b-48b137aa4065,ZM,ZM-07,SVG,SVG,ZM-07-SVG,Siavonga Town Council,Town Council,active,,
3e46732e-0f52-544d-918b-0ea7301f2654,ZM,ZM-07,SNZ,SNZ,ZM-07-SNZ,Sinazongwe Town Council,Town Council,active,,
2d7f7e7a-c40f-56c3-b07e-5f21a64e871b,ZM,ZM-07,ZIM,ZIM,ZM-07-ZIM,Zimba Town Council,Town Council,active,,
c2b30ff8-e2f8-5e63-bd18-6f731e99eaf6,ZM,ZM-08,CLC,CLC,ZM-08-CLC,Chililabombwe Municipal Council,Municipal Council,active,,
9e37ef0f-57df-5e3b-b8ab-28c7a55fa30d,ZM,ZM-08,CHN,CHN,ZM-08-CHN,Chingola Municipal Council,Municipal Council,active,,
4fc79fe3-c517-5cbb-8a62-46c8c1376118,ZM,ZM-08,KLS,KLS,ZM-08-KLS,Kalulushi Municipal Council,Municipal Council,active,,
47f871aa-10f1-52f8-9fc0-6be4c5592ea5,ZM,ZM-08,KIT,KCC,ZM-08-KCC,Kitwe City Council,City Council,active,,
42cde67b-1412-565a-b04a-4a4eb988afef,ZM,ZM-08,LUN,LUN,ZM-08-LUN,Luanshya Municipal Council,Municipal Council,active,,
bba355b6-7bc4-5566-aaac-3d59a5598ff1,ZM,ZM-08,LFW,LFW,ZM-08-LFW,Lufwanyama Town Council,Town Council,active,,
db4a98fa-723f-5fd3-a60a-41173633f979,ZM,ZM-08,MST,MST,ZM-08-MST,Masaiti Town Council,Town Council,active,,
e258d4b2-ff10-5476-a1be-93e472f23e0c,ZM,ZM-08,MPG,MPG,ZM-08-MPG,Mpongwe Town Council,Town Council,active,,
ec24bff5-975c-5059-860a-e1219edccd0b,ZM,ZM-08,MUF,MUF,ZM-08-MUF,Mufulira Municipal Council,Municipal Council,active,,
d9dbd497-b72d-5e8c-a93e-9062829af3f7,ZM,ZM-08,NDL,NDL,ZM-08-NDL,Ndola City Council,City Council,active,,
555b0509-db30-5e7f-96d2-c39c20acd968,ZM,ZM-09,CHL,CHL,ZM-09-CHL,Chilanga Town Council,Town Council,active,,
08ba2c88-7dea-53ea-b738-012ec810c180,ZM,ZM-09,CHW,CHW,ZM-09-CHW,Chongwe Municipal Council,Municipal Council,active,,
20759bdd-b7ee-5181-90e0-a7d9578b4336,ZM,ZM-09,KAF,KAF,ZM-09-KAF,Kafue Town Council,Town Council,active,,
07109ef5-6d1d-518e-b795-d4c5c3364e28,ZM,ZM-09,LWG,LWG,ZM-09-LWG,Luangwa Town Council,Town Council,active,,
aa3487a3-db51-57a0-bb23-2e50e4bb8141,ZM,ZM-09,LSK,LCC,ZM-09-LCC,Lusaka City Council,City Council,active,,
5d1e2fba-4e20-5fb5-9605-a48da85aec48,ZM,ZM-09,RFN,RFN,ZM-09-RFN,Rufunsa Town Council,Town Council,active,,
49bcf57c-6b62-56dd-bc7c-613bfa4283c6,ZM,ZM-10,CNS,CNS,ZM-10-CNS,Chinsali Municipal Council,Municipal Council,active,,
36456b12-aac3-5979-859b-fba3c46126dc,ZM,ZM-10,ISK,ISK,ZM-10-ISK,Isoka Town Council,Town Council,active,,
117606af-25bc-5175-af97-272a1af39827,ZM,ZM-10,KCB,KCB,ZM-10-KCB,Kanchibiya Town Council,Town Council,active,,
ef561c9f-42eb-5f68-8b63-670a8e556200,ZM,ZM-10,LVM,LVM,ZM-10-LVM,Lavushimanda Town Council,Town Council,active,,
d931fa11-6ed4-5f63-9f97-89a2c3ed523d,ZM,ZM-10,MFG,MFG,ZM-10-MFG,Mafinga Town Council,Town Council,active,,
cb82c600-0eeb-5db0-8d5b-57cb44c5a0bd,ZM,ZM-10,MPK,MPK,ZM-10-MPK,Mpika Town Council,Town Council,active,,
afb9dddc-097e-56e2-9ae3-256ea6ffe6fe,ZM,ZM-10,NKD,NKD,ZM-10-NKD,Nakonde Town Council,Town Council,active,,
f66f622b-9116-511a-8a92-8cdbcfe3991a,ZM,ZM-10,SWA,SWA,ZM-10-SWA,Shiwang'andu Town Council,Town Council,active,,
